"","PDescription","TPM_Basal"
"750","hypothetical protein",2.77
"751","protein kinase domain containing protein",2.88
"752","C2 domain containing protein",8.4
"753","hypothetical protein",5.03
"754","hypothetical protein",3.97
"755","hypothetical protein",12.37
"756","ATPase",28.27
"757","cupin domain protein",39.79
"758","hypothetical protein",9.76
"759","hypothetical protein",12.75
"760","Ras subfamily protein",34.62
"761","UDPglucose pyrophosphorylase 2 isoform, putative",577.32
"762","SAM domain (Sterile alpha motif) domain containing protein",24.93
"763","rhodaneselike domain containing protein",74.56
"764","dehydrodolichyl diphosphate synthase",32.65
"765","hypothetical protein",35.63
"766","R3H domain containing protein",56.56
"767","elongator complex protein 1, putative",28.88
"768","hypothetical protein",120.71
"769","hypothetical protein",9.09
"770","peptidase M20, putative",247.14
"771","hypothetical protein",711.59
"772","Lglutamine synthetase",461.75
"773","Glutamine synthetase",273.83
"774","hypothetical protein",19.75
"775","hypothetical protein",16.62
"776","hypothetical protein",13.83
"777","DIL domain containing protein",11.95
"778","dienelactone hydrolase family protein",123.74
"779","ABC transporter, ATPbinding domain containing protein",134.26
"780","Ankyrin repeat containing protein",10.87
"781","3methyl-2-oxobutanoate hydroxymethyltransferase",145.76
"782","hypothetical protein",102.66
"783","COMM domain containing protein 2, putative",43.76
"784","hypothetical protein",19.65
"785","hypothetical protein",25.97
"786","Oryza sativa (japonica cultivar-group) family protein, putative",26.29
"787","leucine rich repeat domain containing protein",25.38
"788","hypothetical protein",6.08
"789","hypothetical protein",27.25
"790","aminotransferase, class V, putative",100.35
"791","hypothetical protein",321.68
"792","hypothetical protein",16.24
"793","hypothetical protein",9.69
"794","hypothetical protein",18.11
"795","hypothetical protein",10.51
"796","hypothetical protein",82.88
"797","ubiquinolcytochrome c reductase complex 14 kDa protein",1261.16
"798","RhoGAP domain containing protein",29.59
"799","homoserine Oacetyltransferase",76.12
"800","hypothetical protein",29.76
"801","hypothetical protein",12.88
"802","GTPase activating protein, putative",18.2
"803","Fbox domain containing protein",9.29
"804","transmembrane protein, putative",14.91
"805","hypothetical protein",49.25
"806","threonyltRNA synthetase, putative",30.5
"807","threonine-tRNA ligase",15.74
"808","phosphotransferase enzyme domain containing protein",18.35
"809","RhoGEF domain containing protein",12.13
"810","hypothetical protein",84.92
"811","hypothetical protein",117.8
"812","dual specificity phosphatase, putative",2.79
"813","hypothetical protein",2.41
"814","hypothetical protein",3.71
"815","hypothetical protein",4.53
"816","serine/threonine kinase",0.24
"817","ABC transporter ATPase/permease",16.28
"818","vacuolar protein sortingassociated protein 11, putative",15.74
"819","Poly(3hydroxybutyrate) depolymerase",0.1
"820","hydrolase, NUDIX family protein",7.28
"821","hypothetical protein",76.6
"822","WD repeatcontaining protein",7.99
"823","hypothetical protein",78.47
"824","Hypothetical protein",11.21
"825","Ras family protein rasG, putative",3
"826","hypothetical protein",21.63
"827","hydrolase, alpha/beta fold domain containing protein",37.98
"828","serine/threonine kinase",9.2
"829","glycosyltransferase family 8 protein",9.34
"830","hypothetical protein",14.31
"831","ribosomal protein L35Ae, putative",2615.83
"832","origin recognition complex2, putative",8.17
"833","cation efflux family superfamily protein",11.56
"834","Cyclindependent kinase",60.55
"835","hypothetical protein",116.38
"836","FHA domain containing protein",26.72
"837","RasG, putative",4.71
"838","Fbox domain containing protein",11.35
"839","hypothetical protein",16.41
"840","ubiquitin carboxyl-terminal hydrolase",10.52
"841","START domain containing protein",167.5
"842","glycosyl hydrolase, putative",17.6
"843","hypothetical protein",11.46
"844","protein kinase",12.05
"845","hypothetical protein",131.74
"846","splicing factor 3b subunit 3, putative",62.51
"847","hypothetical protein",0.36
"848","GCN5 family protein 1 (GCN5L1) protein",61.9
"849","4'-phosphopantetheinyl transferase superfamily protein",16.08
"850","triosephosphate isomerase",33.81
"851","saccharopine dehydrogenase",9.53
"852","Ras protein activator like 1, putative",5.73
"853","Fbox domain containing protein",4.65
"854","kelch repeatcontaining protein",75.21
"855","hypothetical protein",26.5
"856","dynein light chain 1, cytoplasmic, putative",87.42
"857","R3H domain containing protein",11.74
"858","hypothetical protein",14.08
"859","hypothetical protein",3.43
"860","succinylglutamate desuccinylase/aspartoacylase, putative",62.23
"861","hypothetical protein",228.76
"862","hypothetical protein",7.1
"863","hypothetical protein",8.12
"864","Actin1",278.05
"865","peptidase, M20/M25/M40 superfamily protein",9.58
"866","leucine rich repeat containing protein",5.15
"867","asparagine synthase (glutaminehydrolyzing), putative",85.86
"868","mitochondrial import inner membrane translocase subunit tim16, putative",49.66
"869","elongation factor Tu GTP binding domain containing protein",16.93
"870","Myblike DNA-binding protein, putative",12.69
"871","AMPbinding enzyme, putative",1.4
"872","Ubiquitinconjugating enzyme subfamily protein",28.42
"873","phosphoglucomutase, putative",26.82
"874","regulator of chromosome condensation (RCC1) repeat domain containing protein",20.66
"875","AlphaL-fucosidase",3.07
"876","hypothetical protein",0.06
"877","palmitoyl protein thioesterase, putative",9.93
"878","ankyrin repeat-containing protein",6.32
"879","GATA zinc finger domain containing protein",32.8
"880","zincbinding alcohol dehydrogenase",5.79
"881","hypothetical protein",49
"882","Roadblock/LC7 domain containing protein",140.5
"883","hypothetical protein",21.23
"884","SAP domain containing protein",4.57
"885","replication factor C (activator 1) 3, putative",26.73
"886","hypothetical protein",0.8
"887","hypothetical protein",0.14
"888","YCIIrelated domain containing protein",43.29
"889","Amidohydrolase 2, putative",24.73
"890","XYPPX repeat-containing protein",37.24
"891","hypothetical protein",1.76
"892","AMPdependent synthetase and ligase",10.47
"893","Fbox domain containing protein",58.61
"894","hypothetical protein",8.26
"895","hypothetical protein",0.36
"896","NAD+ dependent glutamate dehydrogenase",14.96
"897","hypothetical protein",0.16
"898","oxidoreductase, putative",3.44
"899","hypothetical protein",5.07
"900","AMPactivated protein kinase, putative",0.59
"901","mitochondrial uncoupling protein",2.86
"902","bifunctional aspartate kinase/diaminopimelate decarboxylase protein",0.3
"903","hypothetical protein",141.08
"904","hypothetical protein",44.02
"905","carrier superfamily protein",23.24
"906","Protein disulfideisomerase, putative",781.34
"907","leukotriene A4 hydrolase/aminopeptidase",125.79
"908","chloride transporter, putative",24.77
"909","Autophagy related 16 like 2, putative",22.01
"910","ubiquitin domain containing protein",16.86
"911","golgi family protein, putative",171.13
"912","glycerol-3-phosphate dehydrogenase family protein",45.11
"913","transporter, major facilitator subfamily protein",7.71
"914","hypothetical protein",122.58
"915","FAM96B, putative",28.51
"916","anion transporter, putative",12.58
"917","ATPase/histidine kinase/DNA gyrase B/HSP90 domain containing protein",0.97
"918","multisensor hybrid histidine kinase",4.67
"919","GLE1 family protein",9.18
"920","ATP-dependent metallopeptidase HflB subfamily protein",70.24
"921","adaptin subfamily protein",60.37
"922","serine/threonine kinase",17.63
"923","tRNA (guanine-N1-)-methyltransferase",7.13
"924","transporter, permease",21.87
"925","SNF7 family protein",75.63
"926","helicase Cterminal domain containing protein",17.99
"927","hypothetical protein",0.91
"928","elongation factor 2, putative",4.59
"929","oxidoreductase, short chain dehydrogenase/reductase, putative",46.28
"930","hypothetical protein",4731.96
"931","hypothetical protein",48.25
"932","ubiquitinconjugating enzyme protein E2, putative",99.53
"933","programmed cell death 6 interacting protein, putative",38.15
"934","NADH dehydrogenase, putative",299.51
"935","DNA replication factor C complex subunit 2, putative",27.12
"936","ATPase, AAA domain containing protein",12.02
"937","hypothetical protein",8.26
"938","Rabtype small GTP-binding protein",0.17
"939","hypothetical protein",2.18
"940","hypothetical protein",0.55
"941","hypothetical protein",27.61
"942","glycosyltransferase domain containing protein",1.82
"943","hypothetical protein",18.2
"944","hypothetical protein",7.83
"945","ornithine/lysine/arginine decarboxylase",53.96
"946","LNS2 (Lipin/Ned1/Smp2) protein",16.96
"947","GNT-I family protein",0.48
"948","deoxyribonuclease II, putative",120.91
"949","hypothetical protein",35.24
"950","Deoxyribonuclease II, putative",28.28
"951","deoxyribonuclease II protein, putative",2.68
"952","Osmotically inducible protein C, putative",36.72
"953","hypothetical protein",2.19
"954","hisactophilin II, putative",23.85
"955","endonuclease VIII protein, putative",12.15
"956","snRNP core protein SMX5d, putative",41.25
"957","Endoalpha-1,2-mannosidase-like protein",27.25
"958","zinc finger, C3HC4 type (RING finger) domain containing protein",3.97
"959","Sumo domain containing protein",6.67
"960","DOM3 exoribonuclease, putative",10.29
"961","Dual specificity protein kinase",10.13
"962","hypothetical protein",0.03
"963","hypothetical protein",2.23
"964","SH2 domain containing Signal transducer and activator of transcription, putative",11.44
"965","hypothetical protein",0.74
"966","hypothetical protein",0.02
"967","hypothetical protein",6.41
"968","Phosphoglucomutase, putative",100.01
"969","hypothetical protein",0.01
"970","hypothetical protein",25.98
"971","NAD dependent epimerase/dehydratase",12.47
"972","hypothetical protein",0.37
"973","amino acid permease",31.3
"974","hydroxyisourate hydrolase",54.26
"975","Fbox domain containing protein",5.4
"976","hypothetical protein",0.06
"977","hypothetical protein",3.55
"978","hypothetical protein",1.81
"979","RAN2 small Ras GTP-binding nuclear protein, putative",9.17
"980","cleavage and polyadenylation specific factor 5, putative",26.52
"981","hypothetical protein",11.68
"982","FG-GAP repeat-containing protein",1.45
"983","hypothetical protein",0.45
"984","hypothetical protein",3.33
"985","hypothetical protein",2.23
"986","hypothetical protein",7.95
"987","hypothetical protein",15.61
"988","carrier superfamily protein",20.15
"989","Dual specificity protein kinase",17.12
"990","hypothetical protein",0.49
"991","hypothetical protein",0.95
"992","dual specificity protein kinase, putative",2.53
"993","calponin domain containing protein",0.6
"994","putative cleavage and polyadenylation specificity factor, putative",15.47
"995","putative cleavage and polyadenylation specificity factor, putative",10.48
"996","zinc finger domain containing protein",12.42
"997","Rab GTPase domain containing protein",11.54
"998","Ankyrin repeat containing protein",14.3
"999","hypothetical protein",57.6
"1000","tetratricopeptide repeat domain containing protein",22.69
"1001","hypothetical protein",1383.76
"1002","peroxisomal D3,D2enoyl-CoA isomerase",209.25
"1003","hypothetical protein",0.08
"1004","oxidoreductase family protein",39.78
"1005","hypothetical protein",1.96
"1006","Ran GTPase binding, putative",3.34
"1007","ubiquitin, putative",8.2
"1008","long chain acylcoA synthetase",22.16
"1009","hypothetical protein",6.45
"1010","membrane protein, putative",7.04
"1011","glutathione stransferase",28.35
"1012","shortchain dehydrogenase",7.25
"1013","hypothetical protein",16.93
"1014","ubiquitin domain containing protein",1.39
"1015","hypothetical protein",1.98
"1016","hypothetical protein",10.68
"1017","Factin capping protein alpha subunit",19.35
"1018","RhoGAP domain containing protein",9.66
"1019","hydrolase, alpha/beta fold domain containing protein",3.89
"1020","calmodulinbinding protein, putative",5.86
"1021","hypothetical protein",35.07
"1022","Peroxiredoxin2F, mitochondrial, putative",365.22
"1023","FYVE zinc finger domain containing protein",4.72
"1024","2fe2s domain containing protein",15.94
"1025","Obg family GTPase CgtA, putative",10.67
"1026","poly ADP-ribose glycohydrolase (PARG) protein, putative",4.84
"1027","poly(adpribose) glycohydrolase",10.62
"1028","SPRY and ankyrin domain containing protein",7.48
"1029","ankyrin repeat-containing protein",10.38
"1030","hypothetical protein",111.96
"1031","Dgalactarate dehydratase/Altronate hydrolase-like protein",2.05
"1032","FAD binding domain containing protein",0.97
"1033","PHDfinger domain containing protein",0.64
"1034","hypothetical protein",0.03
